paradigm,subject,C3_left,C3_right,C4_left,C4_right,lat_index
imagined,1,-26.002764849209548,-26.2858241709436,-26.16458204719502,-26.05340288146237,0.39423848746669776
imagined,2,-26.348141320582236,-26.614367066809493,-26.886398115488365,-26.75484606215798,0.39777779955764103
imagined,3,-26.167306618269016,-26.060399239495265,-25.98583890371015,-25.917296266371384,-0.038364741434985916
imagined,4,-28.091605795554727,-28.422546549749242,-28.02381869761532,-27.791407805919434,0.5633516458903998
imagined,5,-27.843589624134044,-27.755641645650233,-27.4751692172923,-27.45788188889574,-0.07066065008725175
imagined,6,-27.427105183085263,-27.46985356637229,-27.623035136822086,-27.65205518508133,0.013728335027781924
imagined,7,-25.374000033971424,-25.702031024615383,-26.161136804063872,-25.509589979156313,0.9795778155515187
imagined,8,-27.148203178006096,-27.24654821533468,-27.169437327846925,-26.966324786907318,0.30145757826819164
imagined,9,-26.03363134276954,-26.00267973783976,-25.88480594490383,-25.884642166932366,-0.030787826958313502
imagined,10,-26.005383036223737,-26.018919216601496,-26.018828072568265,-25.43464053814108,0.5977237148049461
imagined,11,-28.15695451612706,-28.190340722271007,-27.998488989688315,-28.176343202275834,-0.14446800644357083
imagined,12,-27.523428225214843,-27.613089592629,-27.397400094966358,-27.428125074071648,0.05893638830886516
imagined,13,-25.741910125042537,-25.886717408858647,-26.02752887158881,-25.925089834709865,0.24724632069505503
imagined,14,-26.157494082820037,-25.900250706524677,-25.961106571656725,-25.7805107525991,-0.07664755723773453
imagined,15,-25.325941948272153,-25.39992132757627,-25.699089472308877,-25.43865547525138,0.3344133763616135
imagined,16,-27.28623210697276,-27.520859440275377,-27.136895699268496,-27.223865515814747,0.14765751675636452
imagined,17,-25.138903969784813,-25.19417061824662,-25.555964152619886,-25.57910220268793,0.032128598393761365
imagined,18,-29.43949742522316,-29.510017523434687,-29.236514748034633,-29.323649804043725,-0.0166149577975645
imagined,19,-26.105094036846136,-26.105019489154483,-26.44905185527849,-26.17947151692955,0.26950579065728775
imagined,20,-28.79161219605145,-28.962784828353975,-28.976571920305954,-28.975984593059437,0.17175995954904266
imagined,21,-27.280277231055035,-27.31831808118162,-27.499895210417208,-27.352678038304596,0.1852580222391964
imagined,22,-26.07487508163712,-26.078642976180113,-25.679462414613184,-25.626038390676047,0.057191918480128834
imagined,23,-26.062154968089533,-25.717027350318478,-25.885766334850885,-25.499145854048216,0.041492863031614036
imagined,24,-26.41000102666677,-26.47350202367837,-26.4040251270913,-26.41309309122256,0.05443303288033974
imagined,25,-27.918184901352358,-27.98751550186673,-27.914405518143884,-27.454552187466508,0.5291839311917492
imagined,26,-28.851823447907492,-28.824996029131263,-28.656389760603037,-28.533312547368524,0.0962497944582843
imagined,27,-25.85049406934748,-25.523895895901827,-25.67809863351053,-25.284728882080902,0.0667715779839746
imagined,28,-25.04911289361908,-25.10692570905341,-25.011851696897498,-25.05010509800963,0.019559414322198876
imagined,29,-26.675232491087232,-26.85220549746723,-27.292777910723515,-26.670438688740237,0.7993122283632772
imagined,30,-28.477442810589253,-28.571265095929167,-28.670339005205147,-28.64547767404093,0.11868361650413206
