subject,acc,n,ci_lo,ci_hi
1,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
2,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
3,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
4,0.6666666666666666,45,0.5104963621416386,0.799994311989305
5,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
6,0.4444444444444444,45,0.2964439238658582,0.6000265035963211
7,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
8,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
9,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
10,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
11,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
12,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
13,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
14,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
15,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
16,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
17,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
18,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
19,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
20,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
21,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
22,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
23,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
24,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
25,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
26,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
27,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
28,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
29,0.6222222222222222,45,0.4654101126463728,0.7623217552722018
30,0.5555555555555556,45,0.3999734964036788,0.7035560761341417
