paradigm,features,alignment,acc,sd,chance,n_subjects
imagined,logvar,no_EA,0.96,0.020447664802729304,0.03333333333333333,30
imagined,logvar,EA,0.008888888888888889,0.009601097330974608,0.03333333333333333,30
imagined,psd_rel,no_EA,0.9348148148148149,0.016858972854431144,0.03333333333333333,30
imagined,psd_rel,EA,0.9837037037037036,0.01180546477815497,0.03333333333333333,30
imagined,psd_abs,no_EA,0.9955555555555556,0.003628873693012094,0.03333333333333333,30
imagined,psd_abs,EA,0.7903703703703703,0.13295419345887152,0.03333333333333333,30
executed,logvar,no_EA,0.9622222222222222,0.025402115851084792,0.03333333333333333,30
executed,logvar,EA,0.05333333333333334,0.0451426636598299,0.03333333333333333,30
executed,psd_rel,no_EA,0.9140740740740741,0.030916498895865507,0.03333333333333333,30
executed,psd_rel,EA,0.96,0.02986940022763843,0.03333333333333333,30
executed,psd_abs,no_EA,0.9822222222222222,0.01440164599646192,0.03333333333333333,30
executed,psd_abs,EA,0.7925925925925926,0.12231421902453939,0.03333333333333333,30
