subject,test_alignment,acc,n,ci_lo,ci_hi
1,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
1,per_subject,0.7777777777777778,45,0.629112447400512,0.887954061122865
1,none,0.6,45,0.4433135124790022,0.7430241048073687
2,per_run,0.8888888888888888,45,0.7594641915044859,0.9629233386928087
2,per_subject,0.8444444444444444,45,0.7054483989019467,0.9350907879916224
2,none,0.7777777777777778,45,0.629112447400512,0.887954061122865
3,per_run,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
3,per_subject,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
3,none,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
4,per_run,0.7555555555555555,45,0.6046290712401733,0.871177185396492
4,per_subject,0.6888888888888889,45,0.533508970087884,0.8183411960662779
4,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
5,per_run,0.35555555555555557,45,0.21868401073558577,0.5121989948518539
5,per_subject,0.35555555555555557,45,0.21868401073558577,0.5121989948518539
5,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
6,per_run,0.4666666666666667,45,0.3166008229974236,0.6212799839125356
6,per_subject,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
6,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
7,per_run,1.0,45,0.9212948995931569,1.0
7,per_subject,1.0,45,0.9212948995931569,1.0
7,none,0.8,45,0.6540417022050522,0.9042427303088574
8,per_run,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
8,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
8,none,0.4888888888888889,45,0.3370337483927935,0.6422596143299697
9,per_run,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
9,per_subject,0.6,45,0.4433135124790022,0.7430241048073687
9,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
10,per_run,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
10,per_subject,0.6666666666666666,45,0.5104963621416386,0.799994311989305
10,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
11,per_run,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
11,per_subject,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
11,none,0.5333333333333333,45,0.37872001608746436,0.6833991770025765
12,per_run,0.7777777777777778,45,0.629112447400512,0.887954061122865
12,per_subject,0.7333333333333333,45,0.5805532952579822,0.8539592841618702
12,none,0.5111111111111111,45,0.35774038567003036,0.6629662516072066
13,per_run,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
13,per_subject,0.8666666666666667,45,0.7320750459065521,0.9494576240866738
13,none,0.6666666666666666,45,0.5104963621416386,0.799994311989305
14,per_run,0.6666666666666666,45,0.5104963621416386,0.799994311989305
14,per_subject,0.7111111111111111,45,0.5568547229147682,0.8363374395543188
14,none,0.5777777777777777,45,0.42150328448812835,0.7234329717538803
15,per_run,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
15,per_subject,0.9333333333333333,45,0.8173155434217731,0.9860349029556295
15,none,0.7777777777777778,45,0.629112447400512,0.887954061122865
16,per_run,0.6444444444444445,45,0.48780100514814595,0.7813159892644141
